Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51803673,Two Commonwealths: The Soviets and Ourselves,K.E. Holme,"Holme, K.E.",,"=""""","=""""",0,4.25,George G. Harrap & Company LTD,Unknown Binding,67,1944,,,2022/04/19,to-read,to-read (#463),to-read,,,,0,,,0,,,,,
18376712,The Great Conspiracy Against Russia,Michael Sayers,"Sayers, Michael",Albert E. Kahn,"=""""","=""""",0,4.45,Boni & Gaer,Hardcover,154,1946,1946,,2022/04/19,to-read,to-read (#462),to-read,,,,0,,,0,,,,,
25677977,Workers' Participation in the Soviet Union,Mick Costello,"Costello, Mick",,"=""0714709581""","=""9780714709581""",0,3.50,Central Books Ltd.,Paperback,167,1977,1977,,2022/04/19,to-read,to-read (#461),to-read,,,,0,,,0,,,,,
52349841,The Soviet Form of Popular Government,V.M. Chkhikvadze,"Chkhikvadze, V.M.",,"=""0714704881""","=""9780714704883""",0,0.0,,Hardcover,,1972,,,2022/04/19,to-read,to-read (#460),to-read,,,,0,,,0,,,,,
4799634,Socialism In The Soviet Union,Jonathan Aurthur,"Aurthur, Jonathan",,"=""0917348141""","=""9780917348143""",0,3.50,,,,,,,2022/04/19,to-read,to-read (#459),to-read,,,,0,,,0,,,,,
54033355,Soviet Communism: A New Civilisation? - Vol. I,Beatrice Webb,"Webb, Beatrice",Sidney Webb,"=""1473311373""","=""9781473311374""",0,4.00,Young Press,Paperback,552,2013,,,2022/04/19,to-read,to-read (#458),to-read,,,,0,,,0,,,,,
3453454,"The Industrialization of Soviet Russia, Volume 1: The Socialist Offensive: The Collectivisation of the Soviet Agriculture, 1929-1930",Robert William Davies,"Davies, Robert William",,"=""0674814800""","=""9780674814806""",0,4.00,Harvard University Press,Hardcover,512,1974,1974,,2022/04/19,to-read,to-read (#457),to-read,,,,0,,,0,,,,,
36659963,Soviet Democracy,Pat  Sloan,"Sloan, Pat",,"=""""","=""""",0,4.23,Victor Gollancz LTD,Paperback,288,1937,,,2022/04/19,to-read,to-read (#456),to-read,,,,0,,,0,,,,,
4470412,Is the Red Flag Flying?: The Political Economy of the Soviet Union (Imperialism series),Albert Szymanski,"Szymanski, Albert",,"=""0905762355""","=""9780905762357""",0,4.18,Zed Books,Hardcover,235,1979,1979,,2022/04/19,to-read,to-read (#455),to-read,,,,0,,,0,,,,,
2189191,An Economic History of the USSR,Alec Nove,"Nove, Alec",,"=""0140214038""","=""9780140214031""",0,3.81,Penguin Books,Paperback,432,1972,1969,,2022/04/19,to-read,to-read (#454),to-read,,,,0,,,0,,,,,
43015121,The Wealth of (Some) Nations: Imperialism and the Mechanics of Value Transfer,Zak Cope,"Cope, Zak",,"=""0745338852""","=""9780745338859""",0,4.35,Pluto Press,Paperback,240,2019,,,2022/04/19,to-read,to-read (#453),to-read,,,,0,,,0,,,,,
22037894,Unequal Exchange and the Prospects of Socialism,Communist Working Group,"Group, Communist Working",,"=""""","=""""",0,4.10,,,223,,,,2022/04/19,to-read,to-read (#452),to-read,,,,0,,,0,,,,,
274392,"Black Skin, White Masks",Frantz Fanon,"Fanon, Frantz",Charles Lam Markmann,"=""0802150845""","=""9780802150844""",0,4.26,Grove,Paperback,232,1994,1952,,2022/04/19,to-read,to-read (#451),to-read,,,,0,,,0,,,,,
3184732,Settlers: The Mythology of the White Proletariat,J. Sakai,"Sakai, J.",,"=""""","=""""",0,4.23,Morningstar Pres,Paperback,176,1989,1983,,2022/04/19,to-read,to-read (#450),to-read,,,,0,,,0,,,,,
31171856,Ten Myths about Israel,Ilan Pappé,"Pappé, Ilan",,"=""1786630192""","=""9781786630193""",0,4.29,Verso,Paperback,192,2017,2017,,2022/04/19,to-read,to-read (#449),to-read,,,,0,,,0,,,,,
7859,Late Victorian Holocausts: El Niño Famines and the Making of the Third World,Mike  Davis,"Davis, Mike",,"=""1859843824""","=""9781859843826""",0,4.14,Verso,Paperback,474,2002,2000,,2022/04/19,to-read,to-read (#448),to-read,,,,0,,,0,,,,,
172732,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara,"Guevara, Ernesto Che",Aleida Guevara March,"=""1876175702""","=""9781876175702""",0,3.77,Ocean Press,Paperback,175,2003,1992,,2022/04/19,to-read,to-read (#447),to-read,,,,0,,,0,,,,,
66935,A Dying Colonialism,Frantz Fanon,"Fanon, Frantz",Haakon Chevalier,"=""0802150276""","=""9780802150271""",0,4.18,Grove,Paperback,181,1994,1959,,2022/04/19,to-read,to-read (#446),to-read,,,,0,,,0,,,,,
114072,Reminiscences of the Cuban Revolutionary War: Authorized Edition,Ernesto Che Guevara,"Guevara, Ernesto Che",Aleida Guevara March,"=""1920888330""","=""9781920888336""",0,3.94,Ocean Press,Paperback,320,2005,1963,,2022/04/19,to-read,to-read (#445),to-read,,,,0,,,0,,,,,
